"G","R","X","Y","alpha","beta","gamma"
1,1,0,2.16455033470057,5,3,2
1,2,0,1.72312211951203,5,3,2
2,1,1,5.94334192072644,5,3,2
2,2,1,7.41740304593133,5,3,2
3,1,1,7.89212778599095,5,3,2
3,2,1,7.10216994390204,5,3,2
4,1,1,8.16729973363936,5,3,2
4,2,1,7.71021076225617,5,3,2
5,1,0,8.09977708427003,5,3,2
5,2,0,7.58455360192151,5,3,2
6,1,1,5.40609119759726,5,3,2
6,2,1,5.59641458484719,5,3,2
7,1,1,6.96788066616882,5,3,2
7,2,1,7.35401929074829,5,3,2
8,1,0,2.25165234430849,5,3,2
8,2,0,2.07303642690857,5,3,2
9,1,0,3.25149913044488,5,3,2
9,2,0,2.52562635107078,5,3,2
10,1,0,6.27319860066137,5,3,2
10,2,0,6.59692628529367,5,3,2
11,1,1,8.16501564818617,5,3,2
11,2,1,8.15237822645038,5,3,2
12,1,0,4.62724068228932,5,3,2
12,2,0,4.0180274022434,5,3,2
13,1,0,8.95966904655601,5,3,2
13,2,0,8.40806717938034,5,3,2
14,1,0,7.58270871688854,5,3,2
14,2,0,7.2616017354509,5,3,2
15,1,0,2.32011724688182,5,3,2
15,2,0,2.91700503988794,5,3,2
16,1,0,4.6064617784821,5,3,2
16,2,0,4.62092147752406,5,3,2
17,1,1,6.97496301425425,5,3,2
17,2,1,6.72203176637034,5,3,2
18,1,1,10.6073908593241,5,3,2
18,2,1,9.24979919705487,5,3,2
19,1,1,8.66977496999371,5,3,2
19,2,1,9.32470330176834,5,3,2
20,1,1,5.39317474116137,5,3,2
20,2,1,5.35029681541267,5,3,2
21,1,1,9.27933075196402,5,3,2
21,2,1,8.92764539391893,5,3,2
22,1,1,8.72216991823687,5,3,2
22,2,1,8.84556515639213,5,3,2
23,1,0,2.46202533120507,5,3,2
23,2,0,1.87810665357592,5,3,2
24,1,1,9.55137650497358,5,3,2
24,2,1,9.20476388469727,5,3,2
25,1,0,4.31834510797824,5,3,2
25,2,0,3.85250095102774,5,3,2
26,1,1,6.60147372748168,5,3,2
26,2,1,7.68896542908764,5,3,2
27,1,1,8.26206967907513,5,3,2
27,2,1,8.22015849864365,5,3,2
28,1,1,8.52342025706147,5,3,2
28,2,1,8.37125707435503,5,3,2
29,1,1,6.24274986992905,5,3,2
29,2,1,6.40677521413565,5,3,2
30,1,0,2.20463536211629,5,3,2
30,2,0,2.13633811828379,5,3,2
31,1,1,5.00802710520403,5,3,2
31,2,1,4.6495535370687,5,3,2
32,1,1,5.6597402953417,5,3,2
32,2,1,5.72333683019999,5,3,2
33,1,1,7.37011208351892,5,3,2
33,2,1,7.22808637059615,5,3,2
34,1,1,9.41265199937947,5,3,2
34,2,1,8.30409404738798,5,3,2
35,1,0,4.96425539600689,5,3,2
35,2,0,5.83878328061118,5,3,2
36,1,0,4.63257756183023,5,3,2
36,2,0,4.8187102636833,5,3,2
37,1,0,3.38631222216904,5,3,2
37,2,0,3.22335396944492,5,3,2
38,1,0,4.02279506932138,5,3,2
38,2,0,3.76193810571022,5,3,2
39,1,0,6.08507802220429,5,3,2
39,2,0,5.76698048977186,5,3,2
40,1,0,3.72792731678715,5,3,2
40,2,0,3.1798766147863,5,3,2
41,1,1,7.29762733164766,5,3,2
41,2,1,6.6663002100463,5,3,2
42,1,1,6.79709003911517,5,3,2
42,2,1,7.0078323076324,5,3,2
43,1,0,3.48519716990318,5,3,2
43,2,0,3.0200033236022,5,3,2
44,1,1,7.79923072705423,5,3,2
44,2,1,7.59337743815847,5,3,2
45,1,0,4.38016923200067,5,3,2
45,2,0,3.58786898174254,5,3,2
46,1,0,4.64512060746314,5,3,2
46,2,0,5.14934426530522,5,3,2
47,1,0,2.60077276959887,5,3,2
47,2,0,3.30709407803109,5,3,2
48,1,1,10.9919697791028,5,3,2
48,2,1,10.2889135035409,5,3,2
49,1,0,7.8811068252367,5,3,2
49,2,0,7.50319607526401,5,3,2
50,1,0,1.62488841830684,5,3,2
50,2,0,1.8715376643085,5,3,2
51,1,1,8.75559190948525,5,3,2
51,2,1,7.80976094377365,5,3,2
52,1,1,12.143951010082,5,3,2
52,2,1,11.5660585748919,5,3,2
53,1,1,5.11388278438479,5,3,2
53,2,1,4.68986770360096,5,3,2
54,1,0,2.57531551646185,5,3,2
54,2,0,2.88553302170804,5,3,2
55,1,1,8.90178981903006,5,3,2
55,2,1,9.0479135886858,5,3,2
56,1,0,10.2484067210099,5,3,2
56,2,0,10.1420391072745,5,3,2
57,1,0,3.45290414793067,5,3,2
57,2,0,2.59143587198756,5,3,2
58,1,1,6.85772664645564,5,3,2
58,2,1,6.96978457466441,5,3,2
59,1,1,4.52803193305574,5,3,2
59,2,1,5.47412527321822,5,3,2
60,1,0,7.13486260420511,5,3,2
60,2,0,7.6872300898526,5,3,2
61,1,0,4.72229849896807,5,3,2
61,2,0,4.77915684396237,5,3,2
62,1,0,3.31456007786803,5,3,2
62,2,0,3.48007308542109,5,3,2
63,1,0,5.63427050390351,5,3,2
63,2,0,5.86722944346807,5,3,2
64,1,1,8.33945078033495,5,3,2
64,2,1,8.32953372751113,5,3,2
65,1,1,9.76340824609477,5,3,2
65,2,1,10.0301476866626,5,3,2
66,1,0,7.17366193519259,5,3,2
66,2,0,7.24952775875928,5,3,2
67,1,1,10.5646021202571,5,3,2
67,2,1,11.0002512626184,5,3,2
68,1,1,8.20790501779719,5,3,2
68,2,1,8.12280715732826,5,3,2
69,1,1,7.46803997821309,5,3,2
69,2,1,7.11363688516168,5,3,2
70,1,1,7.19786980036638,5,3,2
70,2,1,7.90469995575024,5,3,2
71,1,0,1.84442875722292,5,3,2
71,2,0,2.06192150732228,5,3,2
72,1,1,8.63998762188788,5,3,2
72,2,1,7.71557575796766,5,3,2
