"G","R","X","Y","alpha","beta","gamma"
1,1,0,3.38119859325815,5,3,2
1,2,0,3.25248404976359,5,3,2
1,3,0,4.41846629233684,5,3,2
1,4,0,3.22608719204404,5,3,2
1,5,0,3.63016493731387,5,3,2
1,6,0,3.14435404559961,5,3,2
1,7,0,4.20700220927347,5,3,2
1,8,0,3.65746976899368,5,3,2
1,9,0,3.53886895192916,5,3,2
1,10,0,3.0328903233838,5,3,2
1,11,0,3.49594997175967,5,3,2
1,12,0,3.04531302758519,5,3,2
1,13,0,3.14892905616992,5,3,2
1,14,0,3.3618059062363,5,3,2
1,15,0,3.37776551397166,5,3,2
1,16,0,4.1633959536053,5,3,2
1,17,0,3.10244087656684,5,3,2
1,18,0,3.33318741996693,5,3,2
1,19,0,3.54646225249874,5,3,2
2,1,0,3.80834930800258,5,3,2
2,2,0,4.06193646207152,5,3,2
2,3,0,3.71745855324842,5,3,2
2,4,0,3.9093438688935,5,3,2
2,5,0,3.33267144153403,5,3,2
2,6,0,2.94980484050853,5,3,2
2,7,0,3.58827838266241,5,3,2
2,8,0,4.03828883204078,5,3,2
2,9,0,4.36548375873633,5,3,2
2,10,0,3.89114017260035,5,3,2
2,11,0,3.15667196749553,5,3,2
2,12,0,3.88815588213186,5,3,2
2,13,0,3.65802082347051,5,3,2
2,14,0,4.16933680073729,5,3,2
2,15,0,3.47293759439964,5,3,2
2,16,0,3.62745543805254,5,3,2
2,17,0,3.43809161873649,5,3,2
2,18,0,3.30804383903484,5,3,2
2,19,0,3.72743918220098,5,3,2
3,1,1,8.55146803142086,5,3,2
3,2,1,8.26774166120185,5,3,2
3,3,1,8.17952481625703,5,3,2
3,4,1,8.0512587859464,5,3,2
3,5,1,8.26604400281352,5,3,2
3,6,1,7.65596721428064,5,3,2
3,7,1,7.1634700112582,5,3,2
3,8,1,7.65850520147804,5,3,2
3,9,1,8.2264277131471,5,3,2
3,10,1,7.99647908088298,5,3,2
3,11,1,7.45265843160454,5,3,2
3,12,1,8.39758728446538,5,3,2
3,13,1,7.91579227142482,5,3,2
3,14,1,8.0395355069016,5,3,2
3,15,1,8.52238792199653,5,3,2
3,16,1,8.59363402770968,5,3,2
3,17,1,7.96383793560226,5,3,2
3,18,1,7.99701901713304,5,3,2
3,19,1,7.98795447515384,5,3,2
4,1,0,5.12400469900396,5,3,2
4,2,0,4.85358667185237,5,3,2
4,3,0,5.17749583275503,5,3,2
4,4,0,4.76743574415692,5,3,2
4,5,0,5.32064657312673,5,3,2
4,6,0,4.76419192524977,5,3,2
4,7,0,4.07061657533557,5,3,2
4,8,0,4.76610519613693,5,3,2
4,9,0,4.88274087312977,5,3,2
4,10,0,5.06037333398503,5,3,2
4,11,0,5.02617289666456,5,3,2
4,12,0,4.67723420354029,5,3,2
4,13,0,4.44451713025393,5,3,2
4,14,0,4.23092295949451,5,3,2
4,15,0,4.99611301129201,5,3,2
4,16,0,4.42690178162217,5,3,2
4,17,0,4.91868168761343,5,3,2
4,18,0,4.46426883800826,5,3,2
4,19,0,4.86071390078208,5,3,2
5,1,1,7.33722287086436,5,3,2
