"G","R","X","Y","alpha","beta","gamma"
1,1,1,10.5125194166583,6,3,2
1,2,1,8.7050091782841,6,3,2
2,1,0,5.22939672290681,6,3,2
2,2,0,6.62098743417488,6,3,2
3,1,0,4.38241937656751,6,3,2
3,2,0,4.59894536556921,6,3,2
4,1,1,7.73594764749767,6,3,2
4,2,1,7.54326114762924,6,3,2
5,1,1,11.3820193217874,6,3,2
5,2,1,11.674464851544,6,3,2
6,1,0,6.79275884859081,6,3,2
6,2,0,7.95253145752937,6,3,2
7,1,0,3.83874692006379,6,3,2
7,2,0,3.27094839897778,6,3,2
8,1,1,12.0172504472894,6,3,2
8,2,1,12.2833401034817,6,3,2
9,1,1,8.2879714458322,6,3,2
9,2,1,8.61507356786567,6,3,2
10,1,1,8.46041434342115,6,3,2
10,2,1,8.61756772983087,6,3,2
11,1,1,10.0678964134806,6,3,2
11,2,1,9.49509249048993,6,3,2
12,1,1,5.75882698858784,6,3,2
12,2,1,6.55414748131778,6,3,2
13,1,0,10.3851495439512,6,3,2
13,2,0,9.32329426006764,6,3,2
14,1,1,7.05723210131866,6,3,2
14,2,1,6.9574155947621,6,3,2
15,1,0,6.60486381276062,6,3,2
15,2,0,6.52814982365945,6,3,2
16,1,0,4.27309794476146,6,3,2
16,2,0,4.0642957988793,6,3,2
17,1,1,7.57895126090925,6,3,2
17,2,1,7.68622389175301,6,3,2
18,1,1,5.31146811069636,6,3,2
18,2,1,5.09578554128484,6,3,2
19,1,0,5.39452109676873,6,3,2
19,2,0,5.61168980652991,6,3,2
20,1,1,10.3164355702722,6,3,2
20,2,1,8.84259843629568,6,3,2
21,1,0,7.11426982722761,6,3,2
21,2,0,6.73243996439898,6,3,2
22,1,1,9.4196649944023,6,3,2
22,2,1,8.87397350297609,6,3,2
23,1,1,12.9368221928873,6,3,2
23,2,1,13.0377211657405,6,3,2
24,1,1,4.50422102102379,6,3,2
24,2,1,5.50681252883248,6,3,2
25,1,0,9.24732803267812,6,3,2
25,2,0,8.60655060593324,6,3,2
26,1,0,3.72077622835315,6,3,2
26,2,0,2.70364092458384,6,3,2
27,1,0,7.15696569859218,6,3,2
27,2,0,7.22086731619588,6,3,2
28,1,0,7.6341670946439,6,3,2
28,2,0,7.44815603296857,6,3,2
29,1,1,8.60362636105923,6,3,2
29,2,1,8.36585646765578,6,3,2
