"G","R","X","Y","alpha","beta","gamma"
1,1,1,7.53625614832483,5,3,2
1,2,1,8.19349667072875,5,3,2
1,3,1,8.97468510980464,5,3,2
1,4,1,8.2938135833131,5,3,2
1,5,1,7.60876840036406,5,3,2
2,1,0,4.4028128360883,5,3,2
2,2,0,5.61013371360939,5,3,2
2,3,0,5.48364613644119,5,3,2
2,4,0,6.26770362989583,5,3,2
2,5,0,5.25726409168445,5,3,2
3,1,1,6.42269320197754,5,3,2
3,2,1,5.86249001911368,5,3,2
3,3,1,5.74153011664971,5,3,2
3,4,1,5.85310835505762,5,3,2
3,5,1,5.73813503899561,5,3,2
4,1,1,7.67181133036628,5,3,2
4,2,1,7.18500914296775,5,3,2
4,3,1,8.0826088422632,5,3,2
4,4,1,7.87331427851352,5,3,2
4,5,1,8.01476557294797,5,3,2
5,1,1,8.72613597531479,5,3,2
5,2,1,7.98046452107349,5,3,2
5,3,1,7.63086747595607,5,3,2
5,4,1,7.70080694094976,5,3,2
5,5,1,7.4130889711581,5,3,2
6,1,1,9.76226923745129,5,3,2
6,2,1,7.97197838577985,5,3,2
6,3,1,9.60509674042685,5,3,2
6,4,1,8.9898425776557,5,3,2
6,5,1,8.57074085305133,5,3,2
7,1,1,10.53793783727,5,3,2
7,2,1,9.52746422754558,5,3,2
7,3,1,9.601197158469,5,3,2
7,4,1,9.30249456622929,5,3,2
7,5,1,8.61305565151815,5,3,2
8,1,1,6.7659599495477,5,3,2
8,2,1,7.44496157322859,5,3,2
8,3,1,5.98245129053348,5,3,2
8,4,1,7.11301838450202,5,3,2
8,5,1,6.16137011854595,5,3,2
9,1,1,6.12410876093333,5,3,2
9,2,1,7.69110916541043,5,3,2
9,3,1,7.12895550720153,5,3,2
9,4,1,6.88782801762859,5,3,2
9,5,1,6.3234313329863,5,3,2
10,1,0,5.72663448537061,5,3,2
10,2,0,5.72661347030475,5,3,2
10,3,0,5.72138899596024,5,3,2
10,4,0,3.87534994822546,5,3,2
10,5,0,4.64804090173521,5,3,2
11,1,1,9.32931236553565,5,3,2
11,2,1,8.73142716422606,5,3,2
11,3,1,9.64871356798559,5,3,2
11,4,1,9.59388995353204,5,3,2
11,5,1,10.2886649066302,5,3,2
12,1,0,1.99402376776658,5,3,2
12,2,0,2.14757379117112,5,3,2
12,3,0,2.68291859204972,5,3,2
12,4,0,1.60328886935128,5,3,2
12,5,0,2.40732178319587,5,3,2
13,1,0,5.83267415671279,5,3,2
13,2,0,5.17676780362174,5,3,2
13,3,0,6.66125159003262,5,3,2
13,4,0,5.00821715350475,5,3,2
13,5,0,6.10224045098394,5,3,2
14,1,1,7.64578906803451,5,3,2
14,2,1,7.42327518307073,5,3,2
14,3,1,7.81426807777772,5,3,2
14,4,1,7.92943807520232,5,3,2
14,5,1,7.600317831244,5,3,2
15,1,0,3.3327093804834,5,3,2
15,2,0,3.39953200063919,5,3,2
15,3,0,3.11192467302883,5,3,2
15,4,0,4.03330844653768,5,3,2
15,5,0,3.3115687887427,5,3,2
16,1,1,10.1997268988874,5,3,2
16,2,1,11.4384007591729,5,3,2
16,3,1,10.8196291435616,5,3,2
16,4,1,10.4279909799152,5,3,2
16,5,1,11.1565692419841,5,3,2
17,1,0,6.40267492104808,5,3,2
17,2,0,6.13669408867805,5,3,2
17,3,0,6.75886340434803,5,3,2
17,4,0,6.38446527245323,5,3,2
17,5,0,7.08478612148143,5,3,2
18,1,0,3.12676939787191,5,3,2
18,2,0,3.01659315701492,5,3,2
18,3,0,3.5316175492753,5,3,2
18,4,0,5.20367852233147,5,3,2
18,5,0,3.60248529900154,5,3,2
19,1,1,6.57935906712612,5,3,2
19,2,1,7.08039403825824,5,3,2
19,3,1,6.22470123212394,5,3,2
19,4,1,5.77500791011108,5,3,2
19,5,1,5.64234806426246,5,3,2
20,1,1,7.45770167488886,5,3,2
20,2,1,8.17471389678181,5,3,2
20,3,1,6.87272705224092,5,3,2
20,4,1,7.53279527054032,5,3,2
20,5,1,8.35135826209063,5,3,2
21,1,0,6.92781795635498,5,3,2
21,2,0,7.18314010832182,5,3,2
21,3,0,7.67774547639735,5,3,2
21,4,0,7.074754711902,5,3,2
21,5,0,7.68550515275087,5,3,2
22,1,0,4.34555041666125,5,3,2
22,2,0,4.82547241474059,5,3,2
22,3,0,4.13465514287289,5,3,2
22,4,0,4.09559011449878,5,3,2
22,5,0,4.65446570359081,5,3,2
