"G","R","X","Y","alpha","beta","gamma"
1,1,0,4.52101245192367,5,3,1
1,2,0,4.00768302104912,5,3,1
1,3,0,5.30882033677879,5,3,1
2,1,0,4.01852714737901,5,3,1
2,2,0,4.40105549994908,5,3,1
2,3,0,5.1334437459982,5,3,1
3,1,0,4.31402984377767,5,3,1
3,2,0,4.39252808388912,5,3,1
3,3,0,4.97339161532032,5,3,1
4,1,1,8.17682067991467,5,3,1
4,2,1,8.71051673804815,5,3,1
4,3,1,8.28655775427949,5,3,1
5,1,1,8.72557399150021,5,3,1
5,2,1,8.01694704999258,5,3,1
5,3,1,8.07586452810284,5,3,1
6,1,1,9.70487059804352,5,3,1
6,2,1,8.1359514956354,5,3,1
6,3,1,8.71186992539383,5,3,1
7,1,1,7.80363408501398,5,3,1
7,2,1,5.77810910566932,5,3,1
7,3,1,6.33895928464644,5,3,1
8,1,1,7.43156425220205,5,3,1
8,2,1,8.59321184941402,5,3,1
8,3,1,8.9716367490525,5,3,1
9,1,1,7.81355121054868,5,3,1
9,2,1,7.87079870496741,5,3,1
9,3,1,8.24539616415249,5,3,1
10,1,0,4.37477622402715,5,3,1
10,2,0,4.85191939143559,5,3,1
10,3,0,5.70101414439407,5,3,1
11,1,1,7.20468176548018,5,3,1
11,2,1,6.49001621488925,5,3,1
11,3,1,7.71721636636735,5,3,1
12,1,0,5.88784565143944,5,3,1
12,2,0,4.58468435425173,5,3,1
12,3,0,4.22483830209507,5,3,1
13,1,0,5.7541433187005,5,3,1
13,2,0,5.83007192762119,5,3,1
13,3,0,5.52214223300369,5,3,1
14,1,0,5.81392671967802,5,3,1
14,2,0,5.45607419159258,5,3,1
14,3,0,5.57308895159135,5,3,1
15,1,0,4.78573454054614,5,3,1
15,2,0,4.61344059913071,5,3,1
15,3,0,3.96225567939434,5,3,1
16,1,1,8.92270368541901,5,3,1
16,2,1,8.64069055491703,5,3,1
16,3,1,9.07892517104024,5,3,1
17,1,0,6.04208314206068,5,3,1
17,2,0,5.70247979179837,5,3,1
17,3,0,5.85404048201925,5,3,1
18,1,1,8.40653062019746,5,3,1
18,2,1,8.69189727166293,5,3,1
18,3,1,8.27387919906657,5,3,1
19,1,1,8.35851777117708,5,3,1
19,2,1,7.27603299389091,5,3,1
19,3,1,7.160780921417,5,3,1
20,1,0,4.85703888146513,5,3,1
20,2,0,5.8685598167674,5,3,1
20,3,0,4.95232927949028,5,3,1
21,1,0,4.4220341979859,5,3,1
21,2,0,4.66441302636362,5,3,1
21,3,0,4.71879092132868,5,3,1
22,1,1,6.53448518804521,5,3,1
22,2,1,7.71246851902543,5,3,1
22,3,1,6.44191475667144,5,3,1
23,1,0,6.27861660772241,5,3,1
23,2,0,5.44052956891656,5,3,1
23,3,0,5.85186351134216,5,3,1
24,1,1,9.17114995381124,5,3,1
24,2,1,9.27751376228208,5,3,1
24,3,1,8.73294380776463,5,3,1
25,1,0,4.9499525570178,5,3,1
25,2,0,5.03485453656458,5,3,1
25,3,0,5.94441930870348,5,3,1
26,1,1,6.91855822466025,5,3,1
26,2,1,7.38344614268018,5,3,1
26,3,1,6.07448976170934,5,3,1
27,1,1,8.45504554818531,5,3,1
27,2,1,9.22321159427525,5,3,1
27,3,1,8.80568096147148,5,3,1
28,1,1,7.74844569715378,5,3,1
28,2,1,7.26918005213393,5,3,1
28,3,1,7.26921736763108,5,3,1
29,1,0,4.2921153883991,5,3,1
29,2,0,4.27319401917073,5,3,1
29,3,0,3.9954130637632,5,3,1
30,1,0,6.15379002168489,5,3,1
30,2,0,5.60469522294252,5,3,1
30,3,0,5.60910616885142,5,3,1
31,1,0,4.46858771755176,5,3,1
31,2,0,4.57566677700535,5,3,1
31,3,0,5.02897375677681,5,3,1
32,1,1,7.74992550100032,5,3,1
32,2,1,7.84028959818587,5,3,1
32,3,1,7.95165957781151,5,3,1
33,1,1,7.37836970444268,5,3,1
33,2,1,8.0086212029185,5,3,1
33,3,1,7.4753096880264,5,3,1
34,1,0,5.02271106022383,5,3,1
34,2,0,6.24485534049483,5,3,1
34,3,0,5.53497038222594,5,3,1
35,1,1,10.0317124611543,5,3,1
35,2,1,8.76659973727722,5,3,1
35,3,1,8.86636507959544,5,3,1
36,1,1,8.74902742186442,5,3,1
36,2,1,9.30402113420018,5,3,1
36,3,1,8.91978191238595,5,3,1
37,1,0,5.08593867821788,5,3,1
37,2,0,5.10430979572986,5,3,1
37,3,0,4.85936422463998,5,3,1
38,1,1,9.49289402391448,5,3,1
38,2,1,8.92256277781464,5,3,1
38,3,1,8.7124068093604,5,3,1
39,1,1,7.17693317108592,5,3,1
39,2,1,7.00757443349584,5,3,1
39,3,1,6.8166392307515,5,3,1
40,1,1,7.98378143268106,5,3,1
40,2,1,8.03892871872288,5,3,1
40,3,1,7.35713772330132,5,3,1
41,1,1,7.61065391768953,5,3,1
41,2,1,7.4435302142017,5,3,1
41,3,1,8.56368407408363,5,3,1
42,1,0,4.46091121909211,5,3,1
42,2,0,5.97963508551425,5,3,1
42,3,0,6.15146219049983,5,3,1
43,1,1,7.28135493591156,5,3,1
43,2,1,8.462334787385,5,3,1
43,3,1,6.79914606206397,5,3,1
44,1,1,8.91964044339513,5,3,1
44,2,1,7.93286168799171,5,3,1
