"G","R","X","Y","alpha","beta","gamma"
1,1,0,4.57803517797197,5,3,2
1,2,0,4.47446880543754,5,3,2
1,3,0,4.46620158779056,5,3,2
1,4,0,4.1914893459794,5,3,2
1,5,0,4.49548382132385,5,3,2
1,6,0,5.17326862695765,5,3,2
2,1,1,11.5412514935243,5,3,2
2,2,1,10.6869621715343,5,3,2
2,3,1,10.2860875234232,5,3,2
2,4,1,10.8791787771846,5,3,2
2,5,1,11.0834225199792,5,3,2
2,6,1,10.8301231582965,5,3,2
3,1,1,7.76001717209928,5,3,2
3,2,1,8.13004971041278,5,3,2
3,3,1,8.23151660466013,5,3,2
3,4,1,9.10625902438149,5,3,2
3,5,1,8.42593977692714,5,3,2
3,6,1,7.99754090432938,5,3,2
4,1,1,10.04836743726,5,3,2
4,2,1,10.3751703442133,5,3,2
4,3,1,9.9076533311445,5,3,2
4,4,1,9.5166954693336,5,3,2
4,5,1,9.58292534965804,5,3,2
4,6,1,9.81049255914077,5,3,2
5,1,1,8.61413442918652,5,3,2
5,2,1,9.2340036488693,5,3,2
5,3,1,8.47514049986546,5,3,2
5,4,1,8.43739369584781,5,3,2
5,5,1,9.49314154137677,5,3,2
5,6,1,8.50251003828992,5,3,2
6,1,1,6.50372412400659,5,3,2
6,2,1,7.54609609625993,5,3,2
6,3,1,6.88166333390192,5,3,2
6,4,1,7.11084559182828,5,3,2
6,5,1,7.74262778341098,5,3,2
6,6,1,6.73037293829363,5,3,2
7,1,0,3.84647462013613,5,3,2
7,2,0,3.69290886665933,5,3,2
7,3,0,4.02437363854495,5,3,2
7,4,0,2.92033591023811,5,3,2
7,5,0,3.23277448038827,5,3,2
7,6,0,3.07409234791352,5,3,2
8,1,0,6.31255032345123,5,3,2
8,2,0,4.5293077997723,5,3,2
8,3,0,5.10600938277903,5,3,2
8,4,0,5.32870067078103,5,3,2
8,5,0,6.32693729203381,5,3,2
8,6,0,5.48589117043749,5,3,2
9,1,1,10.7306307819508,5,3,2
9,2,1,10.7004910292096,5,3,2
9,3,1,10.5052597128654,5,3,2
9,4,1,10.9328653686311,5,3,2
9,5,1,11.0734755372227,5,3,2
9,6,1,10.043552730746,5,3,2
10,1,0,4.98182503086784,5,3,2
10,2,0,6.02858923469756,5,3,2
10,3,0,5.6259099859251,5,3,2
10,4,0,6.3354017960998,5,3,2
10,5,0,6.21376777484926,5,3,2
10,6,0,6.25416704419957,5,3,2
11,1,0,5.16238973494634,5,3,2
11,2,0,3.98357643554609,5,3,2
11,3,0,4.60624136371768,5,3,2
11,4,0,4.82200532403072,5,3,2
11,5,0,5.34697359449074,5,3,2
11,6,0,4.99497554967516,5,3,2
12,1,1,8.73176846959478,5,3,2
12,2,1,8.8778114363722,5,3,2
12,3,1,8.44213160108442,5,3,2
12,4,1,10.0596732170968,5,3,2
12,5,1,9.15553665754303,5,3,2
12,6,1,9.44761328866167,5,3,2
13,1,0,4.26063156084571,5,3,2
13,2,0,5.38070293183158,5,3,2
13,3,0,4.57809302480751,5,3,2
13,4,0,4.81452498650725,5,3,2
13,5,0,4.42937223935494,5,3,2
13,6,0,5.19624024086642,5,3,2
14,1,0,7.22101510790802,5,3,2
14,2,0,7.30341964343264,5,3,2
14,3,0,7.29618508746972,5,3,2
14,4,0,7.63956398703425,5,3,2
14,5,0,7.43234727426905,5,3,2
14,6,0,7.33594754650467,5,3,2
15,1,0,4.62915845960323,5,3,2
15,2,0,4.02123856079774,5,3,2
15,3,0,3.88354037976287,5,3,2
15,4,0,3.69688731954155,5,3,2
15,5,0,4.97722816163329,5,3,2
15,6,0,4.23465902376276,5,3,2
16,1,1,5.32378252083589,5,3,2
16,2,1,4.91424590997761,5,3,2
16,3,1,5.35213578414727,5,3,2
16,4,1,4.19857709451111,5,3,2
16,5,1,5.51616976826114,5,3,2
16,6,1,3.95403289502793,5,3,2
17,1,0,6.96447640817812,5,3,2
17,2,0,6.18231465704692,5,3,2
17,3,0,6.51164325038545,5,3,2
17,4,0,6.61419720187314,5,3,2
17,5,0,6.46135228602884,5,3,2
17,6,0,6.65302599100392,5,3,2
18,1,0,3.78213900740401,5,3,2
18,2,0,3.23786694414676,5,3,2
18,3,0,2.34430290104413,5,3,2
18,4,0,3.71829756711922,5,3,2
18,5,0,3.31342418602119,5,3,2
18,6,0,2.75378262545278,5,3,2
19,1,1,6.06524115546665,5,3,2
19,2,1,5.46925973708023,5,3,2
19,3,1,5.61162361404535,5,3,2
19,4,1,5.22033310738851,5,3,2
19,5,1,5.98400990417463,5,3,2
19,6,1,6.06162693743034,5,3,2
20,1,1,8.85716850618617,5,3,2
20,2,1,10.0228686089528,5,3,2
20,3,1,9.6820831672669,5,3,2
20,4,1,9.19465616170009,5,3,2
20,5,1,8.83275538172179,5,3,2
20,6,1,8.95942589678015,5,3,2
21,1,1,7.59989045726859,5,3,2
21,2,1,7.23624765265491,5,3,2
21,3,1,8.56192389172458,5,3,2
21,4,1,8.25444498403769,5,3,2
21,5,1,7.15066081835452,5,3,2
21,6,1,8.099539032634,5,3,2
22,1,1,10.9199277871699,5,3,2
22,2,1,9.96304680394463,5,3,2
22,3,1,11.329743153943,5,3,2
22,4,1,10.7434761569865,5,3,2
22,5,1,10.5158390658263,5,3,2
22,6,1,10.8317238930085,5,3,2
23,1,1,8.03068429298695,5,3,2
23,2,1,8.47347882851716,5,3,2
23,3,1,8.44716683030655,5,3,2
23,4,1,8.03107256833726,5,3,2
23,5,1,8.57732032834788,5,3,2
23,6,1,8.13379441441606,5,3,2
24,1,0,3.2370299523752,5,3,2
24,2,0,2.59985203704654,5,3,2
24,3,0,3.6488686561427,5,3,2
24,4,0,3.72126176414619,5,3,2
24,5,0,3.67818771779845,5,3,2
24,6,0,2.78989587208023,5,3,2
25,1,0,4.04574080722236,5,3,2
25,2,0,4.17029275226646,5,3,2
25,3,0,3.65907881288369,5,3,2
25,4,0,3.19994888876531,5,3,2
25,5,0,3.94112084625248,5,3,2
25,6,0,4.12648488964068,5,3,2
26,1,0,4.04925583107895,5,3,2
26,2,0,4.98515960808324,5,3,2
26,3,0,4.01095581113177,5,3,2
26,4,0,3.98599716662417,5,3,2
26,5,0,4.02544912667417,5,3,2
26,6,0,4.25998328793417,5,3,2
27,1,0,4.22319127142995,5,3,2
27,2,0,3.8378931404164,5,3,2
27,3,0,3.32217383722922,5,3,2
27,4,0,4.52678014336522,5,3,2
27,5,0,3.39874707372151,5,3,2
27,6,0,2.84393041878617,5,3,2
28,1,0,8.65151776470216,5,3,2
28,2,0,8.22592188155201,5,3,2
28,3,0,8.85564023961249,5,3,2
28,4,0,9.65556503166016,5,3,2
28,5,0,8.55844712489276,5,3,2
28,6,0,8.406783353918,5,3,2
29,1,1,6.7186735073466,5,3,2
29,2,1,7.2268258583115,5,3,2
29,3,1,7.30140684312197,5,3,2
29,4,1,6.89551314056555,5,3,2
29,5,1,7.09644818448411,5,3,2
29,6,1,8.19006800928195,5,3,2
30,1,1,10.0969213429711,5,3,2
30,2,1,11.3300668114613,5,3,2
30,3,1,9.80287755762146,5,3,2
30,4,1,10.4697910460391,5,3,2
30,5,1,10.7772531590526,5,3,2
30,6,1,10.367834430216,5,3,2
31,1,0,4.62411603102756,5,3,2
31,2,0,4.26339778630245,5,3,2
31,3,0,5.07106055527157,5,3,2
31,4,0,4.58524157024101,5,3,2
31,5,0,4.94976388394498,5,3,2
31,6,0,4.66698268577778,5,3,2
32,1,0,4.23282766413933,5,3,2
32,2,0,4.72230675840949,5,3,2
32,3,0,3.90247255930224,5,3,2
32,4,0,5.11998010295958,5,3,2
32,5,0,5.69092682744166,5,3,2
32,6,0,3.86655267435297,5,3,2
33,1,1,10.2347077973862,5,3,2
33,2,1,8.19002216580183,5,3,2
33,3,1,8.71840183990184,5,3,2
33,4,1,8.46955787317039,5,3,2
33,5,1,7.99793451455413,5,3,2
33,6,1,9.57662790771391,5,3,2
34,1,0,2.5267469209411,5,3,2
34,2,0,3.2035138884379,5,3,2
34,3,0,3.34680470166569,5,3,2
34,4,0,3.20990230550046,5,3,2
34,5,0,2.69831978297166,5,3,2
34,6,0,3.78859939677145,5,3,2
35,1,0,3.78767696931671,5,3,2
35,2,0,3.83036476736303,5,3,2
35,3,0,4.70060208447975,5,3,2
35,4,0,3.64032338753278,5,3,2
