"G","R","X","Y","alpha","beta","gamma"
1,1,0,138,5,3,2
1,2,0,165,5,3,2
2,1,0,81,5,3,2
2,2,0,70,5,3,2
3,1,1,792,5,3,2
3,2,1,808,5,3,2
4,1,1,5384,5,3,2
4,2,1,5382,5,3,2
5,1,0,8957,5,3,2
5,2,0,8739,5,3,2
6,1,1,2819,5,3,2
6,2,1,2660,5,3,2
7,1,1,7319,5,3,2
7,2,1,7151,5,3,2
8,1,0,1494,5,3,2
8,2,0,1459,5,3,2
9,1,0,128,5,3,2
9,2,0,153,5,3,2
10,1,0,112,5,3,2
10,2,0,97,5,3,2
11,1,1,5203,5,3,2
11,2,1,5102,5,3,2
12,1,0,45,5,3,2
12,2,0,47,5,3,2
13,1,1,15608,5,3,2
13,2,1,15580,5,3,2
14,1,1,17623,5,3,2
14,2,1,17676,5,3,2
15,1,1,3425,5,3,2
15,2,1,3377,5,3,2
16,1,1,14247,5,3,2
16,2,1,14303,5,3,2
17,1,1,177548,5,3,2
17,2,1,178060,5,3,2
18,1,1,9436,5,3,2
18,2,1,9494,5,3,2
19,1,1,47588,5,3,2
19,2,1,47679,5,3,2
20,1,1,19508,5,3,2
20,2,1,19628,5,3,2
21,1,1,63,5,3,2
21,2,1,61,5,3,2
22,1,1,168,5,3,2
22,2,1,188,5,3,2
23,1,0,475,5,3,2
23,2,0,507,5,3,2
24,1,1,24247,5,3,2
24,2,1,24331,5,3,2
25,1,0,34,5,3,2
25,2,0,23,5,3,2
26,1,1,9491,5,3,2
26,2,1,9580,5,3,2
27,1,0,54,5,3,2
27,2,0,47,5,3,2
28,1,0,206,5,3,2
28,2,0,184,5,3,2
29,1,0,1,5,3,2
29,2,0,2,5,3,2
30,1,1,2403,5,3,2
30,2,1,2343,5,3,2
31,1,1,2019,5,3,2
31,2,1,1981,5,3,2
32,1,1,660,5,3,2
32,2,1,650,5,3,2
33,1,1,2524,5,3,2
33,2,1,2408,5,3,2
34,1,0,75,5,3,2
34,2,0,96,5,3,2
35,1,0,255,5,3,2
35,2,0,261,5,3,2
36,1,0,12,5,3,2
36,2,0,11,5,3,2
37,1,0,385,5,3,2
37,2,0,409,5,3,2
38,1,1,4651,5,3,2
38,2,1,4561,5,3,2
39,1,1,1416,5,3,2
39,2,1,1387,5,3,2
40,1,0,127,5,3,2
40,2,0,164,5,3,2
41,1,1,85,5,3,2
41,2,1,76,5,3,2
42,1,1,3726,5,3,2
42,2,1,3782,5,3,2
43,1,1,402,5,3,2
43,2,1,428,5,3,2
44,1,1,5780,5,3,2
44,2,1,5858,5,3,2
45,1,1,7205,5,3,2
45,2,1,7245,5,3,2
46,1,1,793,5,3,2
46,2,1,846,5,3,2
47,1,0,100,5,3,2
47,2,0,89,5,3,2
48,1,1,579,5,3,2
48,2,1,598,5,3,2
49,1,1,13335,5,3,2
49,2,1,13536,5,3,2
50,1,0,25,5,3,2
50,2,0,29,5,3,2
51,1,0,12,5,3,2
51,2,0,11,5,3,2
52,1,0,1780,5,3,2
52,2,0,1726,5,3,2
53,1,1,237,5,3,2
53,2,1,230,5,3,2
54,1,0,1,5,3,2
54,2,0,1,5,3,2
55,1,1,7270,5,3,2
55,2,1,7285,5,3,2
56,1,0,6190,5,3,2
56,2,0,6086,5,3,2
57,1,0,101,5,3,2
57,2,0,88,5,3,2
58,1,1,29036,5,3,2
58,2,1,29487,5,3,2
59,1,0,1988,5,3,2
59,2,0,2024,5,3,2
60,1,0,1219,5,3,2
60,2,0,1239,5,3,2
61,1,1,38,5,3,2
61,2,1,46,5,3,2
62,1,0,56,5,3,2
62,2,0,57,5,3,2
63,1,0,19,5,3,2
63,2,0,16,5,3,2
64,1,0,1821,5,3,2
64,2,0,1774,5,3,2
65,1,0,6,5,3,2
65,2,0,4,5,3,2
66,1,1,347,5,3,2
66,2,1,334,5,3,2
67,1,1,113,5,3,2
67,2,1,115,5,3,2
68,1,0,10,5,3,2
68,2,0,6,5,3,2
69,1,0,860,5,3,2
69,2,0,889,5,3,2
70,1,0,845,5,3,2
70,2,0,801,5,3,2
71,1,0,20,5,3,2
71,2,0,16,5,3,2
72,1,0,87,5,3,2
72,2,0,90,5,3,2
73,1,1,94,5,3,2
73,2,1,86,5,3,2
74,1,0,1647,5,3,2
74,2,0,1672,5,3,2
75,1,0,2751,5,3,2
75,2,0,2806,5,3,2
76,1,1,985,5,3,2
76,2,1,981,5,3,2
77,1,1,1071,5,3,2
77,2,1,1028,5,3,2
78,1,0,434,5,3,2
78,2,0,410,5,3,2
79,1,0,1520,5,3,2
79,2,0,1510,5,3,2
80,1,0,407,5,3,2
80,2,0,398,5,3,2
81,1,0,546,5,3,2
81,2,0,536,5,3,2
82,1,0,90,5,3,2
82,2,0,88,5,3,2
83,1,0,15,5,3,2
83,2,0,15,5,3,2
84,1,0,42,5,3,2
84,2,0,51,5,3,2
85,1,1,146450,5,3,2
85,2,1,146556,5,3,2
86,1,1,3346,5,3,2
86,2,1,3348,5,3,2
87,1,1,1622,5,3,2
87,2,1,1577,5,3,2
88,1,1,514,5,3,2
88,2,1,515,5,3,2
89,1,0,17,5,3,2
89,2,0,11,5,3,2
90,1,1,3713879,5,3,2
90,2,1,3715169,5,3,2
91,1,1,2092,5,3,2
91,2,1,2213,5,3,2
92,1,0,152,5,3,2
92,2,0,147,5,3,2
