"G","R","X","Y","alpha","beta","gamma"
1,1,1,3171,5,3,2
1,2,1,3233,5,3,2
2,1,1,5873,5,3,2
2,2,1,6027,5,3,2
3,1,0,109,5,3,2
3,2,0,124,5,3,2
4,1,0,4927,5,3,2
4,2,0,5013,5,3,2
5,1,0,205,5,3,2
5,2,0,210,5,3,2
6,1,1,2487,5,3,2
6,2,1,2423,5,3,2
7,1,0,16,5,3,2
7,2,0,25,5,3,2
8,1,0,96,5,3,2
8,2,0,97,5,3,2
9,1,1,3453,5,3,2
9,2,1,3462,5,3,2
10,1,1,25290,5,3,2
10,2,1,25117,5,3,2
11,1,1,12258,5,3,2
11,2,1,12041,5,3,2
12,1,1,1466,5,3,2
12,2,1,1378,5,3,2
13,1,1,14592,5,3,2
13,2,1,14731,5,3,2
14,1,1,30260,5,3,2
14,2,1,29892,5,3,2
15,1,1,21037,5,3,2
15,2,1,21232,5,3,2
16,1,1,6622,5,3,2
16,2,1,6785,5,3,2
17,1,1,860,5,3,2
17,2,1,815,5,3,2
18,1,0,133,5,3,2
18,2,0,127,5,3,2
19,1,0,112,5,3,2
19,2,0,127,5,3,2
20,1,1,36385,5,3,2
20,2,1,36538,5,3,2
21,1,1,6954,5,3,2
21,2,1,6958,5,3,2
22,1,0,27,5,3,2
22,2,0,30,5,3,2
23,1,0,28,5,3,2
23,2,0,38,5,3,2
24,1,0,207,5,3,2
24,2,0,192,5,3,2
25,1,1,30146,5,3,2
25,2,1,30368,5,3,2
26,1,0,63,5,3,2
26,2,0,69,5,3,2
27,1,1,2770,5,3,2
27,2,1,2630,5,3,2
28,1,0,127,5,3,2
28,2,0,120,5,3,2
29,1,0,716,5,3,2
29,2,0,719,5,3,2
30,1,0,1276,5,3,2
30,2,0,1257,5,3,2
31,1,1,12150,5,3,2
31,2,1,12426,5,3,2
32,1,0,120,5,3,2
32,2,0,133,5,3,2
33,1,1,451,5,3,2
33,2,1,461,5,3,2
34,1,0,861,5,3,2
34,2,0,903,5,3,2
35,1,0,25,5,3,2
35,2,0,22,5,3,2
36,1,0,36,5,3,2
36,2,0,46,5,3,2
37,1,1,24483,5,3,2
37,2,1,24348,5,3,2
38,1,0,116,5,3,2
38,2,0,156,5,3,2
39,1,1,24975,5,3,2
39,2,1,24941,5,3,2
40,1,0,82,5,3,2
40,2,0,89,5,3,2
41,1,0,163,5,3,2
41,2,0,164,5,3,2
42,1,0,84,5,3,2
42,2,0,87,5,3,2
43,1,0,24,5,3,2
43,2,0,21,5,3,2
44,1,1,23504,5,3,2
44,2,1,23608,5,3,2
45,1,0,53,5,3,2
45,2,0,66,5,3,2
46,1,0,11,5,3,2
46,2,0,15,5,3,2
47,1,1,165643,5,3,2
47,2,1,165793,5,3,2
48,1,1,921,5,3,2
48,2,1,918,5,3,2
49,1,1,580,5,3,2
49,2,1,527,5,3,2
50,1,1,562,5,3,2
50,2,1,597,5,3,2
51,1,0,23,5,3,2
51,2,0,28,5,3,2
52,1,1,1297,5,3,2
52,2,1,1314,5,3,2
53,1,1,731,5,3,2
53,2,1,705,5,3,2
54,1,1,17065,5,3,2
54,2,1,17257,5,3,2
55,1,1,709,5,3,2
55,2,1,694,5,3,2
56,1,1,4077,5,3,2
56,2,1,3965,5,3,2
57,1,1,56,5,3,2
57,2,1,78,5,3,2
58,1,0,21,5,3,2
58,2,0,15,5,3,2
59,1,0,24,5,3,2
59,2,0,26,5,3,2
60,1,1,24,5,3,2
60,2,1,34,5,3,2
61,1,0,1320,5,3,2
61,2,0,1373,5,3,2
62,1,0,1376,5,3,2
62,2,0,1446,5,3,2
63,1,0,723,5,3,2
63,2,0,734,5,3,2
64,1,0,39,5,3,2
64,2,0,34,5,3,2
65,1,0,521,5,3,2
65,2,0,504,5,3,2
66,1,1,3823,5,3,2
66,2,1,3764,5,3,2
67,1,0,57,5,3,2
67,2,0,53,5,3,2
68,1,1,8128,5,3,2
68,2,1,8079,5,3,2
69,1,1,21245,5,3,2
69,2,1,20974,5,3,2
70,1,0,1818,5,3,2
70,2,0,1816,5,3,2
71,1,0,11,5,3,2
71,2,0,15,5,3,2
72,1,0,2525,5,3,2
72,2,0,2611,5,3,2
73,1,0,72,5,3,2
73,2,0,64,5,3,2
74,1,0,240,5,3,2
74,2,0,277,5,3,2
75,1,0,21,5,3,2
75,2,0,27,5,3,2
76,1,0,17,5,3,2
76,2,0,15,5,3,2
77,1,1,62676,5,3,2
77,2,1,62627,5,3,2
78,1,1,100,5,3,2
78,2,1,96,5,3,2
79,1,0,46,5,3,2
79,2,0,55,5,3,2
80,1,1,30009,5,3,2
80,2,1,30336,5,3,2
81,1,1,180,5,3,2
81,2,1,177,5,3,2
82,1,0,261,5,3,2
82,2,0,282,5,3,2
83,1,1,8031,5,3,2
83,2,1,7917,5,3,2
84,1,0,4834,5,3,2
84,2,0,5032,5,3,2
85,1,0,22,5,3,2
85,2,0,23,5,3,2
86,1,1,14155,5,3,2
86,2,1,14374,5,3,2
87,1,0,4349,5,3,2
87,2,0,4266,5,3,2
88,1,1,3702,5,3,2
88,2,1,3795,5,3,2
89,1,0,556,5,3,2
89,2,0,539,5,3,2
90,1,1,18239,5,3,2
90,2,1,18262,5,3,2
91,1,0,195,5,3,2
91,2,0,210,5,3,2
92,1,0,159,5,3,2
92,2,0,150,5,3,2
93,1,1,64798,5,3,2
93,2,1,64928,5,3,2
94,1,1,36698,5,3,2
94,2,1,37290,5,3,2
95,1,1,536,5,3,2
95,2,1,492,5,3,2
96,1,1,12043,5,3,2
96,2,1,11988,5,3,2
97,1,1,3765,5,3,2
97,2,1,3778,5,3,2
98,1,1,853,5,3,2
98,2,1,863,5,3,2
99,1,1,2934,5,3,2
99,2,1,2915,5,3,2
100,1,1,46685,5,3,2
100,2,1,46396,5,3,2
101,1,1,2506,5,3,2
101,2,1,2674,5,3,2
102,1,1,418,5,3,2
102,2,1,446,5,3,2
103,1,1,9812,5,3,2
103,2,1,9885,5,3,2
104,1,1,2625,5,3,2
104,2,1,2621,5,3,2
105,1,0,188,5,3,2
105,2,0,193,5,3,2
106,1,0,23,5,3,2
106,2,0,25,5,3,2
107,1,0,925,5,3,2
107,2,0,945,5,3,2
108,1,1,174,5,3,2
108,2,1,165,5,3,2
109,1,1,32698,5,3,2
109,2,1,32969,5,3,2
110,1,1,3605,5,3,2
110,2,1,3540,5,3,2
111,1,1,2407,5,3,2
111,2,1,2516,5,3,2
112,1,0,281,5,3,2
112,2,0,260,5,3,2
113,1,1,128477,5,3,2
113,2,1,128317,5,3,2
114,1,0,8,5,3,2
114,2,0,5,5,3,2
115,1,0,2695,5,3,2
115,2,0,2602,5,3,2
116,1,1,17535,5,3,2
116,2,1,17272,5,3,2
117,1,1,11087,5,3,2
117,2,1,11190,5,3,2
118,1,0,26,5,3,2
118,2,0,19,5,3,2
119,1,1,37630,5,3,2
119,2,1,37700,5,3,2
120,1,1,3441,5,3,2
120,2,1,3343,5,3,2
121,1,1,9738,5,3,2
121,2,1,9607,5,3,2
122,1,0,240,5,3,2
122,2,0,275,5,3,2
123,1,1,93,5,3,2
123,2,1,87,5,3,2
124,1,0,102,5,3,2
124,2,0,114,5,3,2
125,1,1,1355,5,3,2
125,2,1,1423,5,3,2
126,1,0,0,5,3,2
126,2,0,0,5,3,2
127,1,1,9087,5,3,2
127,2,1,9015,5,3,2
128,1,1,309,5,3,2
128,2,1,317,5,3,2
129,1,1,1133,5,3,2
129,2,1,1123,5,3,2
130,1,1,7172,5,3,2
130,2,1,7017,5,3,2
131,1,1,208,5,3,2
131,2,1,233,5,3,2
132,1,1,4843,5,3,2
132,2,1,4751,5,3,2
133,1,0,319,5,3,2
