"G","R","X","Y","alpha","beta","gamma"
1,1,0,7759,5,3,2
1,2,0,7808,5,3,2
1,3,0,7858,5,3,2
1,4,0,7908,5,3,2
1,5,0,7999,5,3,2
1,6,0,7991,5,3,2
1,7,0,7841,5,3,2
1,8,0,8012,5,3,2
1,9,0,7915,5,3,2
1,10,0,7792,5,3,2
1,11,0,8097,5,3,2
1,12,0,7898,5,3,2
1,13,0,7932,5,3,2
1,14,0,7968,5,3,2
1,15,0,7953,5,3,2
1,16,0,8025,5,3,2
1,17,0,8023,5,3,2
1,18,0,7969,5,3,2
1,19,0,7972,5,3,2
1,20,0,7998,5,3,2
1,21,0,7815,5,3,2
1,22,0,7912,5,3,2
1,23,0,8112,5,3,2
1,24,0,7972,5,3,2
1,25,0,7883,5,3,2
1,26,0,7991,5,3,2
1,27,0,7899,5,3,2
1,28,0,7868,5,3,2
1,29,0,7779,5,3,2
1,30,0,7931,5,3,2
1,31,0,7803,5,3,2
1,32,0,8023,5,3,2
1,33,0,7930,5,3,2
1,34,0,7925,5,3,2
1,35,0,7738,5,3,2
1,36,0,8040,5,3,2
1,37,0,7864,5,3,2
1,38,0,8012,5,3,2
1,39,0,7874,5,3,2
1,40,0,7798,5,3,2
1,41,0,7839,5,3,2
1,42,0,7854,5,3,2
1,43,0,8053,5,3,2
1,44,0,7889,5,3,2
2,1,1,4131,5,3,2
2,2,1,4216,5,3,2
2,3,1,4169,5,3,2
2,4,1,4242,5,3,2
2,5,1,4173,5,3,2
2,6,1,4204,5,3,2
2,7,1,4112,5,3,2
2,8,1,4108,5,3,2
2,9,1,4150,5,3,2
2,10,1,4195,5,3,2
2,11,1,4113,5,3,2
2,12,1,4230,5,3,2
2,13,1,4176,5,3,2
2,14,1,4020,5,3,2
2,15,1,4142,5,3,2
2,16,1,4125,5,3,2
2,17,1,4188,5,3,2
2,18,1,4188,5,3,2
2,19,1,4128,5,3,2
2,20,1,4135,5,3,2
2,21,1,4103,5,3,2
2,22,1,4056,5,3,2
2,23,1,4088,5,3,2
2,24,1,4198,5,3,2
2,25,1,4141,5,3,2
2,26,1,4058,5,3,2
2,27,1,4168,5,3,2
2,28,1,4105,5,3,2
2,29,1,4222,5,3,2
2,30,1,4150,5,3,2
2,31,1,4105,5,3,2
2,32,1,4186,5,3,2
2,33,1,4142,5,3,2
2,34,1,4133,5,3,2
2,35,1,4212,5,3,2
2,36,1,4206,5,3,2
2,37,1,4095,5,3,2
2,38,1,4070,5,3,2
2,39,1,4208,5,3,2
2,40,1,4114,5,3,2
2,41,1,4069,5,3,2
2,42,1,4089,5,3,2
2,43,1,4139,5,3,2
2,44,1,4042,5,3,2
3,1,0,123,5,3,2
3,2,0,136,5,3,2
3,3,0,135,5,3,2
3,4,0,112,5,3,2
3,5,0,125,5,3,2
3,6,0,124,5,3,2
