"G","R","X","Y","alpha","beta","gamma"
1,1,0,1993,5,1,2
1,2,0,2070,5,1,2
1,3,0,2158,5,1,2
1,4,0,2032,5,1,2
2,1,1,407,5,1,2
2,2,1,412,5,1,2
2,3,1,424,5,1,2
2,4,1,415,5,1,2
3,1,0,8,5,1,2
3,2,0,17,5,1,2
3,3,0,16,5,1,2
3,4,0,12,5,1,2
4,1,1,250,5,1,2
4,2,1,264,5,1,2
4,3,1,232,5,1,2
4,4,1,244,5,1,2
5,1,0,45,5,1,2
5,2,0,49,5,1,2
5,3,0,43,5,1,2
5,4,0,57,5,1,2
6,1,1,8,5,1,2
6,2,1,12,5,1,2
6,3,1,11,5,1,2
6,4,1,9,5,1,2
7,1,0,511,5,1,2
7,2,0,527,5,1,2
7,3,0,543,5,1,2
7,4,0,521,5,1,2
8,1,1,42,5,1,2
8,2,1,46,5,1,2
8,3,1,38,5,1,2
8,4,1,40,5,1,2
9,1,1,3994,5,1,2
9,2,1,4037,5,1,2
9,3,1,3909,5,1,2
9,4,1,4043,5,1,2
10,1,0,2740,5,1,2
10,2,0,2754,5,1,2
10,3,0,2769,5,1,2
10,4,0,2710,5,1,2
11,1,1,6,5,1,2
11,2,1,4,5,1,2
11,3,1,6,5,1,2
11,4,1,5,5,1,2
12,1,1,1710,5,1,2
12,2,1,1710,5,1,2
12,3,1,1759,5,1,2
12,4,1,1666,5,1,2
13,1,1,93,5,1,2
13,2,1,108,5,1,2
13,3,1,82,5,1,2
13,4,1,83,5,1,2
14,1,0,51,5,1,2
14,2,0,46,5,1,2
14,3,0,28,5,1,2
14,4,0,37,5,1,2
15,1,1,1024,5,1,2
15,2,1,1036,5,1,2
15,3,1,1068,5,1,2
15,4,1,985,5,1,2
16,1,1,19454,5,1,2
16,2,1,19600,5,1,2
16,3,1,19811,5,1,2
16,4,1,19603,5,1,2
17,1,0,57,5,1,2
17,2,0,69,5,1,2
17,3,0,69,5,1,2
17,4,0,77,5,1,2
18,1,0,161,5,1,2
18,2,0,157,5,1,2
18,3,0,181,5,1,2
18,4,0,158,5,1,2
19,1,1,4,5,1,2
19,2,1,4,5,1,2
19,3,1,6,5,1,2
19,4,1,3,5,1,2
