"G","R","X","Y","alpha","beta","gamma"
1,1,0,74,5,3,1
1,2,0,66,5,3,1
1,3,0,78,5,3,1
1,4,0,87,5,3,1
1,5,0,80,5,3,1
1,6,0,86,5,3,1
1,7,0,85,5,3,1
1,8,0,86,5,3,1
1,9,0,69,5,3,1
1,10,0,72,5,3,1
1,11,0,80,5,3,1
1,12,0,79,5,3,1
1,13,0,101,5,3,1
1,14,0,76,5,3,1
1,15,0,83,5,3,1
1,16,0,73,5,3,1
1,17,0,90,5,3,1
1,18,0,97,5,3,1
1,19,0,71,5,3,1
1,20,0,73,5,3,1
1,21,0,67,5,3,1
1,22,0,87,5,3,1
1,23,0,79,5,3,1
1,24,0,71,5,3,1
2,1,1,2592,5,3,1
2,2,1,2496,5,3,1
2,3,1,2485,5,3,1
2,4,1,2494,5,3,1
2,5,1,2505,5,3,1
2,6,1,2502,5,3,1
2,7,1,2555,5,3,1
2,8,1,2559,5,3,1
2,9,1,2600,5,3,1
2,10,1,2540,5,3,1
2,11,1,2568,5,3,1
2,12,1,2547,5,3,1
2,13,1,2581,5,3,1
2,14,1,2630,5,3,1
2,15,1,2466,5,3,1
2,16,1,2484,5,3,1
2,17,1,2609,5,3,1
2,18,1,2546,5,3,1
2,19,1,2472,5,3,1
2,20,1,2605,5,3,1
2,21,1,2516,5,3,1
2,22,1,2404,5,3,1
2,23,1,2597,5,3,1
2,24,1,2496,5,3,1
3,1,0,31,5,3,1
3,2,0,29,5,3,1
3,3,0,38,5,3,1
3,4,0,31,5,3,1
3,5,0,21,5,3,1
3,6,0,32,5,3,1
3,7,0,34,5,3,1
3,8,0,20,5,3,1
3,9,0,32,5,3,1
3,10,0,26,5,3,1
3,11,0,30,5,3,1
3,12,0,32,5,3,1
3,13,0,23,5,3,1
3,14,0,27,5,3,1
3,15,0,30,5,3,1
3,16,0,23,5,3,1
3,17,0,33,5,3,1
3,18,0,22,5,3,1
3,19,0,21,5,3,1
3,20,0,29,5,3,1
3,21,0,19,5,3,1
3,22,0,25,5,3,1
3,23,0,24,5,3,1
3,24,0,27,5,3,1
4,1,1,2443,5,3,1
4,2,1,2475,5,3,1
4,3,1,2377,5,3,1
4,4,1,2430,5,3,1
4,5,1,2351,5,3,1
4,6,1,2494,5,3,1
4,7,1,2351,5,3,1
4,8,1,2373,5,3,1
4,9,1,2473,5,3,1
4,10,1,2329,5,3,1
4,11,1,2450,5,3,1
4,12,1,2350,5,3,1
4,13,1,2433,5,3,1
4,14,1,2434,5,3,1
4,15,1,2468,5,3,1
4,16,1,2392,5,3,1
4,17,1,2490,5,3,1
4,18,1,2377,5,3,1
4,19,1,2401,5,3,1
4,20,1,2408,5,3,1
4,21,1,2414,5,3,1
4,22,1,2467,5,3,1
4,23,1,2473,5,3,1
4,24,1,2419,5,3,1
5,1,0,104,5,3,1
5,2,0,116,5,3,1
5,3,0,93,5,3,1
5,4,0,109,5,3,1
5,5,0,120,5,3,1
5,6,0,115,5,3,1
5,7,0,120,5,3,1
5,8,0,119,5,3,1
5,9,0,107,5,3,1
5,10,0,115,5,3,1
5,11,0,129,5,3,1
5,12,0,111,5,3,1
5,13,0,98,5,3,1
5,14,0,75,5,3,1
5,15,0,110,5,3,1
5,16,0,111,5,3,1
5,17,0,93,5,3,1
5,18,0,122,5,3,1
5,19,0,96,5,3,1
5,20,0,98,5,3,1
5,21,0,108,5,3,1
5,22,0,116,5,3,1
5,23,0,113,5,3,1
5,24,0,119,5,3,1
6,1,0,581,5,3,1
6,2,0,599,5,3,1
6,3,0,571,5,3,1
6,4,0,578,5,3,1
6,5,0,589,5,3,1
6,6,0,562,5,3,1
6,7,0,560,5,3,1
6,8,0,538,5,3,1
6,9,0,558,5,3,1
6,10,0,588,5,3,1
6,11,0,584,5,3,1
6,12,0,580,5,3,1
6,13,0,591,5,3,1
6,14,0,587,5,3,1
6,15,0,568,5,3,1
6,16,0,585,5,3,1
6,17,0,555,5,3,1
6,18,0,602,5,3,1
6,19,0,529,5,3,1
6,20,0,602,5,3,1
6,21,0,572,5,3,1
6,22,0,568,5,3,1
6,23,0,561,5,3,1
6,24,0,617,5,3,1
7,1,0,218,5,3,1
7,2,0,210,5,3,1
7,3,0,223,5,3,1
7,4,0,215,5,3,1
7,5,0,217,5,3,1
7,6,0,220,5,3,1
7,7,0,198,5,3,1
7,8,0,215,5,3,1
7,9,0,234,5,3,1
7,10,0,218,5,3,1
7,11,0,202,5,3,1
7,12,0,194,5,3,1
7,13,0,229,5,3,1
7,14,0,214,5,3,1
7,15,0,238,5,3,1
7,16,0,237,5,3,1
7,17,0,199,5,3,1
7,18,0,235,5,3,1
7,19,0,201,5,3,1
7,20,0,215,5,3,1
7,21,0,212,5,3,1
7,22,0,228,5,3,1
7,23,0,228,5,3,1
7,24,0,228,5,3,1
8,1,1,2976,5,3,1
8,2,1,2939,5,3,1
8,3,1,2877,5,3,1
8,4,1,2907,5,3,1
8,5,1,2913,5,3,1
8,6,1,2824,5,3,1
8,7,1,2891,5,3,1
8,8,1,2957,5,3,1
8,9,1,2889,5,3,1
8,10,1,2905,5,3,1
8,11,1,3005,5,3,1
8,12,1,2869,5,3,1
8,13,1,2888,5,3,1
8,14,1,2864,5,3,1
8,15,1,2871,5,3,1
8,16,1,2856,5,3,1
8,17,1,2930,5,3,1
8,18,1,2897,5,3,1
8,19,1,2939,5,3,1
8,20,1,3002,5,3,1
8,21,1,2949,5,3,1
8,22,1,2938,5,3,1
8,23,1,2876,5,3,1
8,24,1,2802,5,3,1
9,1,1,26532,5,3,1
9,2,1,26547,5,3,1
9,3,1,26591,5,3,1
9,4,1,26594,5,3,1
9,5,1,26675,5,3,1
9,6,1,26448,5,3,1
9,7,1,26457,5,3,1
9,8,1,26524,5,3,1
9,9,1,26847,5,3,1
9,10,1,26559,5,3,1
9,11,1,26597,5,3,1
9,12,1,26428,5,3,1
9,13,1,26613,5,3,1
9,14,1,26676,5,3,1
9,15,1,26555,5,3,1
9,16,1,26739,5,3,1
9,17,1,26774,5,3,1
9,18,1,26570,5,3,1
9,19,1,26653,5,3,1
9,20,1,26699,5,3,1
9,21,1,26717,5,3,1
9,22,1,26242,5,3,1
9,23,1,26670,5,3,1
9,24,1,26116,5,3,1
10,1,1,17835,5,3,1
10,2,1,17764,5,3,1
10,3,1,17739,5,3,1
10,4,1,17905,5,3,1
10,5,1,17760,5,3,1
10,6,1,17612,5,3,1
10,7,1,17801,5,3,1
10,8,1,17870,5,3,1
10,9,1,17900,5,3,1
10,10,1,17752,5,3,1
10,11,1,17850,5,3,1
10,12,1,17639,5,3,1
10,13,1,18066,5,3,1
10,14,1,17662,5,3,1
10,15,1,17888,5,3,1
10,16,1,18075,5,3,1
10,17,1,17562,5,3,1
10,18,1,17825,5,3,1
10,19,1,17748,5,3,1
10,20,1,17625,5,3,1
10,21,1,17670,5,3,1
10,22,1,17942,5,3,1
10,23,1,17697,5,3,1
10,24,1,17540,5,3,1
11,1,1,59876,5,3,1
11,2,1,59862,5,3,1
11,3,1,59876,5,3,1
11,4,1,60455,5,3,1
11,5,1,60392,5,3,1
11,6,1,60443,5,3,1
11,7,1,60441,5,3,1
11,8,1,60010,5,3,1
11,9,1,60273,5,3,1
11,10,1,60173,5,3,1
11,11,1,60232,5,3,1
11,12,1,59677,5,3,1
11,13,1,60369,5,3,1
11,14,1,60585,5,3,1
11,15,1,60421,5,3,1
11,16,1,60205,5,3,1
11,17,1,60527,5,3,1
11,18,1,59959,5,3,1
11,19,1,60092,5,3,1
11,20,1,60566,5,3,1
11,21,1,60342,5,3,1
11,22,1,60926,5,3,1
11,23,1,60832,5,3,1
11,24,1,59907,5,3,1
12,1,0,174,5,3,1
12,2,0,189,5,3,1
12,3,0,198,5,3,1
