"G","R","X","Y","alpha","beta","gamma"
1,1,1,3081,5,3,2
1,2,1,3050,5,3,2
2,1,0,34,5,3,2
2,2,0,29,5,3,2
3,1,1,2920,5,3,2
3,2,1,2814,5,3,2
4,1,1,1894,5,3,2
4,2,1,1826,5,3,2
5,1,1,600,5,3,2
5,2,1,556,5,3,2
6,1,1,145,5,3,2
6,2,1,154,5,3,2
7,1,0,780,5,3,2
7,2,0,833,5,3,2
8,1,0,55,5,3,2
8,2,0,57,5,3,2
9,1,1,3504,5,3,2
9,2,1,3324,5,3,2
10,1,0,28,5,3,2
10,2,0,27,5,3,2
11,1,1,3934,5,3,2
11,2,1,3820,5,3,2
12,1,1,14263,5,3,2
12,2,1,14285,5,3,2
13,1,0,69,5,3,2
13,2,0,99,5,3,2
14,1,1,20559,5,3,2
14,2,1,20570,5,3,2
15,1,1,1957,5,3,2
15,2,1,1990,5,3,2
16,1,1,99,5,3,2
16,2,1,120,5,3,2
17,1,0,5405,5,3,2
17,2,0,5432,5,3,2
18,1,0,42,5,3,2
18,2,0,26,5,3,2
19,1,0,48,5,3,2
19,2,0,44,5,3,2
20,1,1,7011,5,3,2
20,2,1,7260,5,3,2
21,1,1,2132,5,3,2
21,2,1,2147,5,3,2
22,1,0,191,5,3,2
22,2,0,153,5,3,2
23,1,0,24,5,3,2
23,2,0,28,5,3,2
24,1,1,21391,5,3,2
24,2,1,21092,5,3,2
25,1,1,14547,5,3,2
25,2,1,14920,5,3,2
26,1,1,27985,5,3,2
26,2,1,27804,5,3,2
27,1,1,7148,5,3,2
27,2,1,6984,5,3,2
28,1,1,1841,5,3,2
28,2,1,1765,5,3,2
29,1,1,1110,5,3,2
29,2,1,1006,5,3,2
30,1,0,20,5,3,2
30,2,0,26,5,3,2
31,1,0,184,5,3,2
31,2,0,184,5,3,2
32,1,0,18,5,3,2
32,2,0,18,5,3,2
33,1,0,2334,5,3,2
33,2,0,2299,5,3,2
34,1,0,2,5,3,2
34,2,0,4,5,3,2
35,1,0,188,5,3,2
35,2,0,187,5,3,2
36,1,0,134,5,3,2
36,2,0,134,5,3,2
37,1,0,15,5,3,2
37,2,0,6,5,3,2
38,1,1,1586,5,3,2
38,2,1,1514,5,3,2
39,1,0,11,5,3,2
39,2,0,13,5,3,2
40,1,0,70,5,3,2
40,2,0,63,5,3,2
41,1,1,11344,5,3,2
41,2,1,11453,5,3,2
42,1,1,41396,5,3,2
42,2,1,41668,5,3,2
43,1,1,18282,5,3,2
43,2,1,18415,5,3,2
44,1,1,8657,5,3,2
44,2,1,8721,5,3,2
45,1,1,17937,5,3,2
45,2,1,17849,5,3,2
46,1,1,6986,5,3,2
46,2,1,7164,5,3,2
47,1,1,1867,5,3,2
47,2,1,2009,5,3,2
48,1,0,264,5,3,2
48,2,0,268,5,3,2
49,1,0,131,5,3,2
49,2,0,135,5,3,2
50,1,1,939,5,3,2
50,2,1,895,5,3,2
51,1,1,2037,5,3,2
51,2,1,1967,5,3,2
52,1,0,260,5,3,2
52,2,0,232,5,3,2
53,1,0,17,5,3,2
53,2,0,15,5,3,2
54,1,0,1,5,3,2
54,2,0,0,5,3,2
55,1,0,229,5,3,2
