"est.beta","se","G","R"
4.35539624387707,1.73380728211394,4,99
1.43070825529378,2.1720836706306,5,79
3.79185160799277,1.3187962787126,6,65
4.01037821838335,1.1435881302651,7,56
2.00929814576987,1.72599287893648,8,49
1.75937581366325,1.06309735906508,9,43
4.25733501651399,2.17187990079253,10,39
4.05055166601564,0.828618516118086,11,35
3.9353395353119,0.965943044486095,12,32
2.24217905183944,1.24013172614168,13,29
3.60604968493312,1.06390329332556,14,27
3.07505061426924,1.00715701707759,15,25
2.70145691550361,0.801565526228189,16,24
3.93704531388151,0.973865660563884,17,22
3.8029891857555,0.801116550826594,18,21
3.96927070830002,1.00249059442779,19,20
3.26679617454991,0.971162144541285,20,19
3.15692407814512,0.937404453263145,21,18
3.36802689596222,0.88034551158211,22,17
3.28265064826319,0.84965538885374,23,16
1.89114176847429,0.929908430248711,24,15
3.42445408251724,0.715072829348742,25,15
4.9673837416186,0.583240773270583,26,14
1.93753948480189,0.721952066599372,27,13
3.74579646958653,0.530637202995386,28,13
4.71328417903099,0.590231683239031,29,12
3.44317342866473,0.776109046778551,30,12
3.17348124102713,0.634999740936482,31,11
2.12203971588921,0.828053575733818,32,11
4.50624275040802,0.692938926905825,33,11
2.23900855366539,0.661572774829406,34,10
2.9244007011945,0.60389356067878,35,10
2.5398771480626,0.633059326493363,36,10
3.26913148938309,0.716370768483899,37,9
3.86682886333646,0.56358418255364,38,9
2.281047548555,0.492965037698162,39,9
2.69028495764432,0.592894412292252,40,9
2.74518711106069,0.629434287648224,41,8
3.19738820066389,0.584992035073569,42,8
3.52418343494062,0.696683003241265,43,8
3.84726731237968,0.650319508579549,44,8
2.47692565409224,0.514309958739794,45,7
3.2129262169708,0.580073409314159,46,7
2.57685714163675,0.507049645999685,47,7
1.50338582192625,0.534808152950895,48,7
2.59700296006452,0.562351649006811,49,7
3.81459628013834,0.591882709995583,50,7
2.2618663184902,0.625315308365749,51,6
2.78461896909798,0.5286792800272,52,6
2.33318375104583,0.6369102264956,53,6
3.70523150228761,0.554994336347803,54,6
3.38529268494039,0.537924636095736,55,6
3.51852367699695,0.548010935703557,56,6
2.98973494925216,0.591509186588216,57,6
2.76845831922666,0.498033037024073,58,5
3.34046998291726,0.568680709532588,59,5
2.72541092334039,0.555639905384316,60,5
2.97827686893305,0.552494705659505,61,5
3.14837010279348,0.484537674467125,62,5
2.91396953688436,0.571017438855028,63,5
3.82001668420563,0.453820131557842,64,5
3.12083547819939,0.580368725562671,65,5
2.3862674662895,0.509392658295152,66,5
3.39863217903883,0.513841030707331,67,4
2.09803455637111,0.466131012692168,68,4
2.76488069844072,0.479828748723755,69,4
2.84217091613477,0.44663688124421,70,4
1.72206377002299,0.533211964320899,71,4
3.37896478216804,0.476986955362019,72,4
3.6609801820604,0.482314671704503,73,4
2.83500156274818,0.467285078854557,74,4
1.89867595747494,0.485652461996889,75,4
3.07067909350637,0.455905154750966,76,4
2.79870457395066,0.420908934077511,77,4
3.19448676984706,0.46108517183377,78,4
3.1406148046445,0.453900951034576,79,4
2.575995915258,0.498049933279586,80,4
2.89195162371726,0.450096762548151,81,3
3.07065748836359,0.445936396946416,82,3
3.02593460752763,0.477323710192554,83,3
4.16997766688389,0.457810134521056,84,3
3.33035770374232,0.415482640809994,85,3
3.05483240315655,0.442644444039789,86,3
3.38437245679056,0.480359671857737,87,3
3.41655774217308,0.381434193163267,88,3
4.19363867984624,0.448581654282278,89,3
2.84171241337968,0.402529588124902,90,3
3.69583663274082,0.431689991013644,91,3
2.90612524138764,0.508535063858338,92,3
3.39395975816847,0.488363842219382,93,3
3.36727778819315,0.398906254663188,94,3
2.25568323688539,0.448513326675278,95,3
2.79631803349938,0.423388623194201,96,3
3.05482237319029,0.394932292282276,97,3
3.56213153021823,0.445869849011085,98,3
3.61812403433954,0.385244762755342,99,3
3.11819732654667,0.339035748310346,100,3
2.31520669324085,0.403686674196365,101,2
3.29838237947475,0.398617625451587,102,2
2.65574519177329,0.405378325035882,103,2
2.89757081883569,0.413144637714771,104,2
3.29928931560092,0.390557129058015,105,2
2.97416142761968,0.391866191442666,106,2
3.106427659734,0.3947594299689,107,2
3.16579131516769,0.366848884978579,108,2
2.97111674641444,0.381815369424484,109,2
2.83476081110365,0.406881747825522,110,2
2.79118647198913,0.414486564339281,111,2
2.92499230223858,0.395346695032276,112,2
3.10823031839624,0.357238585481344,113,2
2.25855171041148,0.386697063026464,114,2
2.88200685027702,0.414037987046988,115,2
2.80873028167839,0.373131796637587,116,2
2.5153766403476,0.392162660791441,117,2
3.14237046146573,0.338379008367113,118,2
3.17213804527262,0.381511718413944,119,2
2.66196105162781,0.386661693879079,120,2
3.46014308467863,0.354404637859436,121,2
2.9697358888706,0.389713772415879,122,2
2.86462721380054,0.342288885064037,123,2
3.48940391158773,0.347762493449821,124,2
2.62700546311554,0.422540954750462,125,2
2.91916781331718,0.354781017624155,126,2
3.12190805667015,0.379573055747291,127,2
2.59438838689527,0.360014340196709,128,2
3.03006149328978,0.354936879287096,129,2
3.04111736989462,0.348839985424822,130,2
3.60792064989677,0.331365075290275,131,2
3.27798600408613,0.3620092898068,132,2
2.76509747344709,0.355816668879388,133,2
3.45446624937531,0.918367175686533,4,99
3.13996156106758,1.1849554256556,5,79
5.53439570852461,2.19351652777754,6,65
4.36238353089393,1.4561391945323,7,56
2.69750278603615,0.62614083145288,8,49
4.79198005638496,1.81207776238199,9,43
3.32496683769497,0.634592763410841,10,39
2.26775760292065,0.73068980010547,11,35
2.48370930900661,0.984187461207924,12,32
3.18170704757042,0.841730145608249,13,29
4.06961090527601,0.924287273371214,14,27
2.38277463512269,1.00810548321177,15,25
3.96440274506822,0.653225377212634,16,24
2.95975250707814,0.955088260104362,17,22
3.93570198873988,0.86826870127363,18,21
3.67951953270003,0.864850224659807,19,20
3.74997839636183,0.827648189012091,20,19
4.4910085830485,0.780417364325462,21,18
2.4659131989443,0.930089720458405,22,17
2.50660103918749,0.917639222428713,23,16
2.82860258770362,0.879802319024455,24,15
2.37423420169289,0.682491134246071,25,15
3.86677722046856,0.659354615840007,26,14
1.2879665656132,0.60412022180769,27,13
2.55459344872019,0.740946177250407,28,13
3.53587827357,0.769572008692073,29,12
3.49997030616936,0.626227608429516,30,12
2.68967241698361,0.737190950517667,31,11
3.60057342320262,0.770055579686364,32,11
2.62915888455444,0.568525816615518,33,11
3.09399099137602,0.690088955542815,34,10
2.44740086934705,0.67824018735065,35,10
0.904913464012747,0.773143163736444,36,10
3.02726201414336,0.651457269533673,37,9
2.69665519804659,0.743737777070036,38,9
3.22574256066555,0.651174223959176,39,9
3.67112295086369,0.784087810695325,40,9
3.89638180354496,0.602880895136478,41,8
3.97923698390195,0.599450705256939,42,8
3.14831717389325,0.699974766838265,43,8
2.72048894230324,0.643514606107293,44,8
3.47635376993824,0.726496419486835,45,7
3.58729574440384,0.601894105090277,46,7
2.20588129601852,0.560793713889203,47,7
2.96422966225798,0.533064416841887,48,7
1.73167237427398,0.584728540365797,49,7
1.61616713831909,0.634661392340188,50,7
2.767689792888,0.556181338625898,51,6
3.92475963091123,0.512399033241014,52,6
1.97756869990079,0.587207389637177,53,6
2.70722286362645,0.569660273310403,54,6
3.41223404780101,0.518755573804971,55,6
2.14064872153244,0.554108805115397,56,6
3.4248143800337,0.52341877813384,57,6
3.19281318368306,0.537174133274727,58,5
2.78557577843976,0.55125547076019,59,5
2.44784312354812,0.531138217692991,60,5
3.81298084872651,0.479731459408432,61,5
3.13008772911865,0.496007100846134,62,5
3.02890598717339,0.463464174215119,63,5
3.10883862228753,0.509723185971872,64,5
3.12379831775022,0.533921150363456,65,5
2.29742350563758,0.525238579544187,66,5
3.3280585216737,0.457356768443546,67,4
2.7161412646048,0.454149303982368,68,4
2.55064234628286,0.469450323203684,69,4
2.4850304056813,0.426484519514221,70,4
2.79922797590637,0.50634121827878,71,4
4.19013510676204,0.474262110939855,72,4
2.44233563511417,0.45202437284483,73,4
