"est.beta","se","G","R"
-0.268892731477503,2.01282645502123,4,124
1.13291407811519,1.80259936677497,5,99
2.34142207877268,1.94045970572383,6,82
2.48991352364175,1.76742704415092,7,70
3.5892164327167,1.53376951498989,8,61
3.61536494042847,0.981650842867248,9,54
2.91499950926207,1.48217609944255,10,49
3.51525700420343,0.892842565556226,11,44
1.88040238704988,0.952570859797187,12,40
2.31258106584658,1.26065285875049,13,37
0.640497652581296,0.928002760361013,14,34
2.87196524501752,1.04476919643274,15,32
1.96332612116864,1.09677806298509,16,30
2.81618708979539,0.787409536536306,17,28
3.80035078388889,1.0485888915195,18,26
2.00896268808535,1.08524656444163,19,25
2.73328875759625,0.750159704382583,20,24
1.8929703034652,0.887280438582508,21,22
4.23369797459501,0.806679028904029,22,21
1.98537917608128,0.755574617004721,23,20
3.33432484262479,0.86657111982585,24,19
4.65358216282472,0.770589013141552,25,19
3.75353471951305,0.760909640473418,26,18
2.33036336023312,0.734904767321995,27,17
2.23803787525774,0.679745864020543,28,16
3.23349324936288,0.845091905376331,29,16
2.51556588395927,0.837118439121489,30,15
3.82914779218458,0.684866357883216,31,15
3.45183136432678,0.66969449324197,32,14
3.26380172702869,0.461493103325216,33,14
2.61308923909113,0.651719499282312,34,13
3.47631337480969,0.690747376479992,35,13
4.05601947800548,0.865934849095654,36,12
4.10827676994625,0.677022942013519,37,12
2.79038800645983,0.652371814851954,38,12
2.56185593378504,0.709841438805342,39,11
3.20249817963639,0.479156502575395,40,11
3.61866827880936,0.658394988586523,41,11
2.95191904649981,0.458226490342311,42,10
3.19937066259702,0.565232997192383,43,10
3.00864670679168,0.535196508970069,44,10
3.12936452890565,0.626919060719837,45,10
2.69263612633647,0.468863411975756,46,9
2.63282083786957,0.576075712875064,47,9
3.40562559688805,0.522930170131213,48,9
3.24786502878387,0.487716558769522,49,9
3.68668040570535,0.544081337721264,50,9
3.35544781994689,0.565855495602497,51,8
3.49099918573094,0.50767641784208,52,8
3.09235314924965,0.608338487066591,53,8
3.57727746238517,0.527701138015248,54,8
2.99590975032731,0.504841285259815,55,8
3.61532898558631,0.551519841015823,56,7
3.71396516923226,0.581295666318379,57,7
2.53811551644096,0.510372890442776,58,7
3.70813489876192,0.546251421946478,59,7
2.2817290988504,0.487126520542585,60,7
2.27642544044656,0.494773960568358,61,7
2.74854120809734,0.485586081803771,62,7
3.67325327033442,0.554685132822189,63,6
2.68888005127204,0.424275862173281,64,6
2.7224821923543,0.461523898412847,65,6
2.39956172473006,0.476080985004417,66,6
2.00356793478858,0.485840022590945,67,6
3.23734877099378,0.518589412625502,68,6
2.55907056097872,0.504968837995226,69,6
3.2128600874862,0.545122977685535,70,6
2.88611686572816,0.529483350131624,71,6
3.29795749373815,0.425668033010754,72,5
4.03334016700872,0.43604615463082,73,5
3.89261713898741,0.429970963699663,74,5
2.60261294278621,0.426544247344793,75,5
2.69403506435237,0.484269708884262,76,5
3.36179987087212,0.350848954967795,77,5
3.57553260742003,0.419544059649298,78,5
3.18702424645174,0.504351092193225,79,5
2.50202720106321,0.406678319791478,80,5
2.37330144487952,0.42871200459369,81,5
2.41851712175305,0.43249699921242,82,5
2.99217431143596,0.444494093186357,83,5
3.50983076782547,0.423940748172663,84,4
3.4655940834687,0.490156348615582,85,4
2.58240874291548,0.432065828343914,86,4
1.99240545679021,0.429648235998048,87,4
3.22100154463751,0.438564379207569,88,4
2.63020525497408,0.462731732649057,89,4
3.21494525581591,0.41452995051957,90,4
2.75707291295526,0.421491886013685,91,4
2.97183033326039,0.427219091168347,92,4
3.02720551700427,0.430245887593102,93,4
3.71163468115641,0.466379518105387,94,4
3.18493964698344,0.438746914829818,95,4
2.67495739471658,0.428694759662306,96,4
3.05731578167939,0.405538170881081,97,4
3.57937500472371,0.372996208494702,98,4
3.15452213103253,0.399932673699676,99,4
3.47800717449324,0.375185141246316,100,4
3.47697443764779,0.376025340981072,101,3
4.21716161007108,0.43435493854093,102,3
4.07085973184085,0.388023366447937,103,3
3.03578324009192,0.352133454392527,104,3
3.18209633405911,0.39088462368383,105,3
3.29157115899022,0.418792121601259,106,3
2.8432237045031,0.393765763051798,107,3
2.7563937405065,0.367339600950655,108,3
3.12737342734161,0.40123333640396,109,3
3.33829574571175,0.36194137350084,110,3
2.90991528344192,0.39330879954325,111,3
2.79338584864556,0.355304602250781,112,3
3.21606919283085,0.378423738946357,113,3
2.8752676278665,0.356360977062264,114,3
3.20997862626944,0.383702287457399,115,3
3.16492323307912,0.345749815535206,116,3
3.00195143216879,0.381307036060978,117,3
3.29563713195884,0.391020700129967,118,3
