"est.beta","se","G","R"
3.77819992405298,1.86070116486295,4,249
1.11554833801621,1.11098725413908,5,199
6.12958991877588,1.57195925566549,6,165
4.53955285559605,1.42550267275877,7,141
3.6977539368175,1.30097251232238,8,124
0.607584055830144,0.825925323030509,9,110
3.08932027709933,1.49223094039446,10,99
3.2532201565443,1.4743961599242,11,89
3.76341401492773,1.30178751259661,12,82
2.29838601310371,0.945780768689854,13,75
2.76458280075257,0.667979425113276,14,70
1.94552977558127,0.743728307485234,15,65
3.69940918583931,1.00180384891659,16,61
4.3031119301491,0.968829088150255,17,57
3.70596989299252,0.667060981901686,18,54
3.51200353233998,0.696879351698229,19,51
3.13875188246308,0.821103812913483,20,49
3.03804549898723,0.723780169999378,21,46
2.34438303291353,0.863230999728529,22,44
3.40576314913117,0.918871313275925,23,42
4.75409075297616,0.733553754325652,24,40
3.2199394130794,0.718982472633013,25,39
2.74368898634842,0.953882318408289,26,37
3.00214162589323,0.649179906618317,27,36
1.93439637302687,0.936429947298247,28,34
3.5101739288622,0.659669995704786,29,33
2.70776496688505,0.855843596709598,30,32
3.46184455956426,0.789152068805058,31,31
3.04540213249794,0.770609888326086,32,30
2.36667148506171,0.727643318203997,33,29
4.50959490419559,0.706817877604358,34,28
3.73144335178814,0.583717026786075,35,27
3.61792769702249,0.611290640045107,36,26
2.17706708582675,0.643844829828205,37,26
3.4861726017944,0.670456293267083,38,25
2.0202813876954,0.463841026947083,39,24
2.91926254261076,0.613515759054884,40,24
3.79396879075654,0.643708905554839,41,23
2.3621079830105,0.695083089079698,42,22
2.81267612523791,0.578992830611031,43,22
2.87548027180844,0.508221748340732,44,21
2.24519551423695,0.591979596054818,45,21
2.45949711646446,0.591881217297689,46,20
3.34997775232141,0.499979189555726,47,20
2.60583952183549,0.584213091650933,48,19
3.04316462560088,0.517997780459798,49,19
3.48835577329703,0.590755090846484,50,19
2.89694406275203,0.473203709014961,51,18
3.77645592937502,0.498236540223176,52,18
3.01088507566389,0.541191080730169,53,17
3.52851166391382,0.494501678448744,54,17
2.33977276048241,0.454758560018321,55,17
3.26837202674685,0.515723693807377,56,16
3.0543509417346,0.486977304741409,57,16
